side_a_id,side_b_id,incompatibility,year,intensity_level,cumulative_intensity,type_of_conflict,ep_end
148,270,2,1967,2,1,3,0
148,270,2,1968,1,1,3,0
148,270,2,1969,1,1,3,0
148,270,2,1970,2,1,4,0
148,270,2,1971,2,1,4,0
148,270,2,1972,2,1,4,0
148,270,2,1973,2,1,4,0
148,270,2,1974,2,1,4,0
148,270,2,1975,2,1,4,1
148,271,2,1978,2,1,4,0
116,233,2,2007,2,1,4,0
154,276,1,2007,1,1,3,0
112,468,2,2007,1,1,3,0
121,208,1,2008,1,1,3,0
116,234,2,2008,2,1,4,0
17,743,2,2008,1,1,3,0
112,468,2,2008,1,1,3,0
142,287,1,2008,1,1,3,0
121,208,1,2009,1,1,3,0
154,276,1,2009,1,1,3,0
112,468,2,2009,1,1,3,0
142,287,1,2009,1,1,3,1
144,1107,1,2010,1,1,3,0
148,270,2,1992,1,1,3,0
148,270,2,1993,1,1,3,0
