side_a_id,side_b_id,incompatibility,year,intensity_level,cumulative_intensity,type_of_conflict,ep_end
5,734,2,1958,2,1,3,1
5,735,2,1961,1,1,4,1
155,217,2,1953,2,1,3,1
90,480,2,1981,2,1,4,0
130,292,2,1981,2,1,4,0
121,1067,1,1982,2,1,4,0
116,260,1,1982,1,1,3,0
33,401,1,1953,1,0,1,0
33,401,1,1954,1,0,1,0
33,401,1,1955,1,0,1,0
33,401,1,1956,1,0,1,1
33,402,1,1953,1,0,1,0
33,402,1,1954,1,0,1,0
33,402,1,1955,1,0,1,0
33,402,1,1956,1,0,1,1
33,403,1,1954,1,0,1,0
87,438,2,1982,1,1,3,0
148,270,2,1982,1,1,4,0
90,481,2,1982,2,1,3,0
33,403,1,1958,2,1,1,0
33,403,1,1959,2,1,1,0
33,403,1,1960,2,1,1,0
33,403,1,1961,2,1,1,0
33,403,1,1962,1,1,1,1
130,292,2,1982,2,1,4,0
26,737,2,1963,1,0,3,1
26,738,2,1974,1,0,3,0
121,1067,1,1983,1,1,3,0
119,237,2,1983,1,1,4,0
97,410,2,1983,2,1,3,0
28,220,1,1955,1,0,1,0
28,220,1,1956,1,0,1,0
28,220,1,1957,1,0,1,0
28,220,1,1958,1,0,1,0
28,220,1,1959,1,0,1,1
151,221,1,1955,2,1,3,0
151,221,1,1956,2,1,3,0
151,221,1,1957,2,1,3,0
151,221,1,1958,2,1,3,0
151,221,1,1959,2,1,3,0
151,221,1,1960,2,1,3,0
151,221,1,1961,2,1,3,0
151,221,1,1962,2,1,4,0
151,221,1,1963,2,1,4,0
151,221,1,1964,2,1,4,1
40,57,2,1956,2,1,2,1
141,222,1,1956,1,0,3,0
141,222,1,1957,1,0,3,0
141,222,1,1958,1,1,3,0
141,222,1,1959,1,1,3,1
141,222,1,1961,1,1,3,0
141,222,1,1962,1,1,3,0
141,222,1,1963,1,1,3,0
141,222,1,1964,1,1,3,0
141,222,1,1965,1,1,3,0
141,222,1,1966,1,1,3,0
141,222,1,1967,1,1,3,0
141,222,1,1968,1,1,3,1
141,223,1,1992,1,1,3,0
141,223,1,1993,1,1,3,0
141,223,1,1994,1,1,3,0
141,223,1,1995,1,1,3,0
141,223,1,1996,1,1,3,0
141,223,1,1997,1,1,3,1
141,223,1,2000,1,1,3,1
116,260,1,1983,1,1,3,0
144,225,1,1957,1,0,3,1
144,225,1,1987,1,0,3,1
144,225,1,1992,1,0,3,1
144,225,1,1996,1,0,3,1
144,225,1,2005,1,0,3,1
144,225,1,2021,1,0,3,0
144,225,1,2022,1,0,3,0
33,564,1,1957,1,0,1,0
33,564,1,1958,1,0,1,0
33,564,1,1959,1,0,1,1
12,14,1,1957,1,0,2,1
33,565,1,1957,1,0,1,0
33,565,1,1958,1,0,1,1
35,565,1,1957,1,0,1,0
35,565,1,1958,1,0,1,1
129,226,1,1957,1,0,4,1
116,227,2,1958,1,0,3,0
116,228,2,1959,1,0,3,1
148,270,2,1983,1,1,4,0
116,231,2,1982,1,1,3,0
116,231,2,1983,1,1,3,0
116,231,2,1984,1,1,3,1
116,231,2,1987,1,1,3,1
116,231,2,1991,1,1,3,0
116,231,2,1992,1,1,3,0
116,231,2,1993,1,1,3,0
116,231,2,1994,1,1,3,0
116,231,2,1995,1,1,3,0
116,231,2,1996,1,1,3,1
90,481,2,1983,2,1,3,0
130,292,2,1983,2,1,4,0
121,1067,1,1984,1,1,3,0
119,237,2,1984,2,1,4,0
97,409,2,1984,2,1,3,0
116,234,2,2009,2,1,4,0
116,234,2,2010,1,1,4,0
148,270,2,1984,1,1,4,0
116,234,2,2012,1,1,3,0
116,234,2,2013,2,1,3,0
116,234,2,2014,2,1,4,0
116,234,2,2015,2,1,4,0
116,234,2,2016,2,1,4,0
116,234,2,2017,2,1,4,0
116,234,2,2018,1,1,4,0
116,234,2,2019,1,1,4,0
116,234,2,2020,1,1,4,0
116,234,2,2021,1,1,4,0
116,234,2,2022,1,1,4,0
119,236,2,1958,2,1,3,1
119,237,2,1975,1,1,3,0
130,292,2,1984,2,1,4,0
119,237,2,1982,1,1,3,0
121,1067,1,1985,1,1,3,0
97,409,2,1985,2,1,3,0
119,240,2,1985,1,1,3,0
148,270,2,1985,1,1,4,0
130,292,2,1985,2,1,4,0
119,242,2,1990,1,1,4,1
152,196,2,1958,1,0,4,0
152,196,2,1959,1,0,4,0
152,196,2,1960,1,0,4,1
152,196,2,1974,1,0,3,0
152,196,2,1975,1,0,3,1
152,196,2,1981,1,0,3,1
149,244,2,1959,2,1,3,0
121,1067,1,1986,1,1,3,0
149,244,2,1961,2,1,4,1
149,244,2,1963,2,1,4,0
149,244,2,1964,2,1,4,0
149,244,2,1965,2,1,4,0
149,244,2,1966,2,1,4,0
149,244,2,1967,2,1,4,0
149,244,2,1968,2,1,4,0
149,244,2,1969,2,1,4,0
149,244,2,1970,2,1,4,0
149,244,2,1971,2,1,4,0
149,244,2,1972,2,1,4,0
149,244,2,1973,2,1,4,1
149,246,2,1989,1,1,3,0
149,246,2,1990,1,1,3,1
119,240,2,1986,1,1,3,1
36,566,1,1962,2,1,1,0
97,409,2,1986,1,1,3,0
116,260,1,1986,1,1,3,0
148,270,2,1986,1,1,4,0
90,481,2,1986,2,1,3,0
130,292,2,1986,2,1,4,0
154,169,2,1987,2,1,3,0
121,1067,1,1987,1,1,3,0
97,409,2,1987,2,1,3,0
116,260,1,1987,1,1,3,0
148,270,2,1987,1,1,4,0
90,483,2,1987,2,1,3,0
130,292,2,1987,2,1,4,0
144,247,1,1959,1,0,3,0
144,248,1,1960,1,0,3,0
144,248,1,1961,1,0,3,0
144,249,1,1962,1,0,3,0
144,249,1,1963,1,0,3,0
144,250,1,1964,2,1,3,0
144,250,1,1965,2,1,3,0
144,250,1,1966,2,1,3,0
144,250,1,1967,2,1,3,0
144,250,1,1968,2,1,3,0
121,1067,1,1988,1,1,3,0
116,260,1,1988,2,1,3,0
144,250,1,1972,1,1,3,0
144,250,1,1973,1,1,3,1
148,270,2,1988,1,1,4,0
144,252,1,1977,1,1,3,0
144,252,1,1978,1,1,3,0
144,252,1,1979,1,1,3,0
144,252,1,1980,1,1,3,0
144,252,1,1981,1,1,3,0
144,252,1,1982,1,1,3,0
144,252,1,1983,1,1,3,0
144,254,1,1984,1,1,3,0
144,255,1,1985,1,1,3,0
144,255,1,1986,1,1,3,0
144,255,1,1987,1,1,3,0
144,255,1,1988,1,1,3,1
144,255,1,1993,1,1,3,0
144,255,1,1994,1,1,3,0
144,255,1,1995,1,1,3,0
144,256,1,1996,1,1,3,0
144,256,1,1997,1,1,3,0
144,256,1,1998,1,1,3,0
144,256,1,1999,1,1,3,0
144,256,1,2000,1,1,3,0
144,256,1,2001,1,1,3,0
144,256,1,2002,1,1,3,1
144,256,1,2005,1,1,3,0
144,256,1,2006,1,1,3,0
144,256,1,2007,1,1,3,0
144,256,1,2008,1,1,3,0
144,256,1,2009,1,1,3,0
144,256,1,2010,1,1,3,0
90,486,2,1988,2,1,3,0
130,292,2,1988,2,1,4,0
144,1122,1,2015,1,1,3,1
89,406,1,1961,1,0,3,0
89,406,1,1962,1,0,3,1
89,3967,1,2013,1,0,4,0
89,3967,1,2014,1,0,4,1
89,3967,1,2020,1,0,4,1
89,407,1,1960,1,0,3,0
89,407,1,1961,1,0,3,0
89,407,1,1962,1,0,3,1
97,408,2,1960,1,0,3,1
154,169,2,1989,1,1,3,0
121,205,1,1989,1,1,3,0
119,242,2,1989,1,1,4,0
97,410,2,1979,1,1,3,0
97,410,2,1980,2,1,3,0
97,410,2,1981,2,1,3,0
97,410,2,1982,2,1,3,0
97,413,2,1989,2,1,3,0
116,260,1,1989,1,1,3,0
87,442,2,1989,1,1,3,0
148,270,2,1989,1,1,4,0
90,486,2,1989,2,1,3,0
97,410,2,1988,2,1,3,0
130,292,2,1989,2,1,4,0
97,414,2,1990,2,1,3,0
154,169,2,1990,2,1,3,0
97,410,2,2020,2,1,4,0
97,410,2,2021,2,1,4,0
116,260,1,1990,1,1,3,0
97,95,1,1964,1,0,2,1
97,95,1,1977,2,1,2,0
97,95,1,1978,2,1,2,1
97,95,1,1980,1,1,2,1
146,257,2,1960,1,0,3,0
146,257,2,1961,1,0,3,0
146,257,2,1962,1,0,3,1
146,258,2,1996,1,0,3,0
146,258,2,1997,1,0,3,0
146,258,2,1998,1,0,3,0
146,258,2,1999,1,0,3,0
146,258,2,2000,1,0,3,0
146,258,2,2001,1,1,3,0
146,258,2,2002,2,1,3,0
146,258,2,2003,2,1,3,0
146,258,2,2004,2,1,3,0
146,258,2,2005,2,1,3,0
146,258,2,2006,1,1,3,1
33,259,2,1961,2,1,3,0
33,259,2,1962,2,1,3,1
116,260,1,1961,2,1,3,0
116,260,1,1962,2,1,3,0
116,260,1,1963,2,1,3,0
116,260,1,1964,1,1,3,0
116,260,1,1965,2,1,3,0
116,260,1,1966,2,1,3,0
116,260,1,1967,1,1,3,0
116,260,1,1968,1,1,3,0
116,260,1,1969,2,1,3,0
116,260,1,1970,1,1,3,1
116,260,1,1973,1,1,3,0
116,260,1,1974,2,1,3,0
116,260,1,1975,2,1,3,0
116,261,1,1976,1,1,3,0
87,442,2,1990,2,1,3,0
148,270,2,1990,1,1,3,0
116,260,1,1979,1,1,3,0
154,275,1,1990,1,1,3,1
90,486,2,1990,1,1,3,0
130,292,2,1990,2,1,3,0
97,1215,2,1991,2,1,3,1
116,260,1,1984,1,1,3,0
116,261,1,1985,1,1,3,0
116,260,1,1991,2,1,3,0
87,446,2,1991,1,1,3,0
17,743,2,1991,1,1,3,0
148,270,2,1991,1,1,3,0
90,486,2,1991,1,1,3,0
130,292,2,1991,2,1,3,0
116,261,1,1992,1,1,3,1
116,261,1,1995,1,1,3,0
116,261,1,1996,1,1,3,1
33,110,1,1961,2,1,2,1
28,263,1,1962,1,0,1,1
135,141,1,1962,2,1,2,1
135,141,1,1967,1,1,2,1
135,141,1,2020,1,1,2,1
97,415,1,1964,1,0,3,0
97,415,1,1965,1,0,3,0
97,415,1,1966,1,0,3,0
97,415,1,1967,1,0,3,0
97,415,1,1968,1,0,3,0
97,415,1,1969,1,0,3,0
97,415,1,1970,1,0,3,0
97,415,1,1971,1,0,3,0
97,415,1,1972,1,0,3,0
87,446,2,1992,1,1,3,0
97,415,1,1974,1,0,3,0
17,743,2,1992,2,1,3,0
130,292,2,1992,2,1,3,0
87,446,2,1993,1,1,3,0
17,743,2,1993,1,1,3,0
154,275,1,1993,1,1,3,0
130,299,2,1993,2,1,3,0
97,416,1,1981,1,1,3,0
97,416,1,1982,2,1,3,0
97,416,1,1983,2,1,3,0
97,416,1,1984,2,1,3,0
97,416,1,1985,2,1,3,0
97,416,1,1986,1,1,3,0
97,416,1,1987,2,1,3,0
97,416,1,1988,2,1,3,0
97,416,1,1989,2,1,3,0
97,416,1,1990,2,1,3,0
97,416,1,1991,2,1,3,1
155,30,1,1962,1,0,2,1
18,740,2,1962,1,0,3,1
18,741,2,1982,1,0,3,1
18,742,2,1992,1,0,3,1
109,108,1,1963,1,0,2,1
36,417,1,1963,1,0,1,0
36,417,1,1964,1,0,1,0
36,417,1,1965,1,1,1,0
36,417,1,1966,1,1,1,0
36,417,1,1967,1,1,1,0
36,417,1,1968,1,1,1,0
36,417,1,1969,1,1,1,0
36,417,1,1970,1,1,1,0
36,417,1,1971,1,1,1,0
36,417,1,1972,1,1,1,0
36,417,1,1973,1,1,1,1
152,264,1,1963,1,0,3,0
152,264,1,1964,1,0,3,0
152,264,1,1965,1,0,4,0
152,264,1,1966,1,0,4,1
155,152,1,1963,1,0,2,0
155,152,1,1964,1,0,2,0
155,152,1,1965,1,0,2,0
155,152,1,1966,1,0,2,1
112,418,1,1963,2,1,3,0
112,418,1,1964,2,1,3,0
112,418,1,1965,2,1,3,0
112,418,1,1966,2,1,3,0
112,418,1,1967,2,1,3,0
112,418,1,1968,2,1,3,0
112,418,1,1969,2,1,3,0
112,418,1,1970,2,1,3,0
112,418,1,1971,2,1,3,0
112,418,1,1972,2,1,3,1
89,419,2,1964,2,1,3,0
89,419,2,1965,2,1,3,1
89,420,2,1967,1,1,3,1
89,421,2,1977,1,1,4,0
89,421,2,1978,1,1,3,1
89,422,2,1996,2,1,4,0
89,422,2,1997,2,1,4,0
87,447,2,1994,1,1,3,1
17,743,2,1994,2,1,3,0
154,276,1,1994,1,1,3,0
89,424,2,2001,1,1,4,1
89,7098,2,2005,1,1,3,0
89,426,2,2006,1,1,3,0
89,426,2,2007,1,1,3,0
89,426,2,2008,1,1,3,1
89,3043,2,2011,1,1,3,0
130,299,2,1994,2,1,3,0
17,743,2,1995,1,1,3,0
130,299,2,1995,2,1,3,0
17,743,2,1996,2,1,3,0
154,276,1,1996,1,1,3,0
112,466,2,1996,2,1,3,0
90,488,2,1996,2,1,3,0
97,497,1,1996,1,1,3,1
130,292,2,1996,2,1,3,0
93,431,2,1997,1,1,3,0
85,427,2,1964,1,0,4,1
36,428,1,1964,1,0,1,0
36,428,1,1965,1,0,1,0
36,428,1,1966,1,1,1,0
36,428,1,1967,1,1,1,0
36,428,1,1968,1,1,1,0
36,428,1,1969,1,1,1,0
36,428,1,1970,1,1,1,0
36,428,1,1971,1,1,1,0
36,428,1,1972,2,1,1,0
36,428,1,1973,2,1,1,0
36,428,1,1974,1,1,1,1
28,265,1,1964,1,0,1,0
28,265,1,1965,1,0,1,0
28,265,1,1966,1,0,1,0
28,265,1,1967,1,0,1,1
93,429,2,1965,1,0,3,1
93,430,2,1991,1,0,3,0
93,430,2,1992,1,0,3,1
93,431,2,1994,1,0,3,0
93,431,2,1995,1,0,3,0
93,431,2,1996,1,1,3,0
87,446,2,1997,1,1,3,0
17,743,2,1997,1,1,3,0
148,270,2,1997,1,1,3,0
154,276,1,1997,1,1,3,0
112,466,2,1997,2,1,3,0
90,488,2,1997,1,1,3,0
89,423,2,1998,2,1,4,0
93,432,2,2004,1,1,3,0
93,432,2,2005,1,1,3,0
93,432,2,2006,1,1,3,1
93,432,2,2008,1,1,3,1
93,6513,2,2014,1,1,3,0
93,431,2,1998,1,1,3,0
93,6513,2,2019,1,1,4,0
17,743,2,1998,1,1,3,0
93,6513,2,2021,1,1,4,0
148,270,2,1998,1,1,3,1
87,435,2,1966,1,0,3,0
87,435,2,1967,1,0,3,0
87,435,2,1968,1,0,3,0
87,435,2,1969,1,1,4,0
87,435,2,1970,1,1,4,0
154,276,1,1998,1,1,3,0
87,436,2,1972,1,1,4,1
87,438,2,1976,1,1,3,0
112,466,2,1998,2,1,3,0
87,439,2,1978,2,1,4,0
90,488,2,1998,1,1,3,0
87,438,2,1980,2,1,4,0
87,438,2,1981,1,1,4,0
141,193,2,1999,1,1,3,0
87,441,2,1983,1,1,4,0
